authority_tier,char_count,key,lane,name,node_id,node_type,source_id
,,short-staff-t1744.html,,short-staff-t1744.html,71de7dfb-0a76-5426-a418-525cacbf3e24,BaseItem,diablo2-io
,,hellwarden-s-will-t1673933.html,,hellwarden-s-will-t1673933.html,fa07e538-1fcf-51b3-b75f-b1509e041dba,UniqueItem,diablo2-io
,,death-mask-t1496.html,,death-mask-t1496.html,4624543f-1f33-578a-ba3a-ea1458498bc2,BaseItem,diablo2-io
,,ars-dul-mephistos-t1673924.html,,ars-dul-mephistos-t1673924.html,fc4c51be-c95d-5561-929a-6a5285f7e6af,UniqueItem,diablo2-io
,,occult-tome-t1673950.html,,occult-tome-t1673950.html,22040793-ac70-558f-b2bc-efd47bf29ed6,BaseItem,diablo2-io
structured_db,,runewords,structured_db,"All Diablo 2 Resurrected Runewords
        
                                  
        
         • diablo2.io",65ef56de-0262-5303-ab66-27fe434c060b,SourceDocument,diablo2-io
,,runewords,,runewords,a6d418f2-81a9-5d95-aaae-56b1e0bee263,WebPage,diablo2-io
,,mania-t1674022.html,,mania-t1674022.html,2c351183-b897-527b-83af-7a143586fa72,Runeword,diablo2-io
,,shael-t1319.html,,shael-t1319.html,0af8b38e-ed72-5272-9415-c6016c212401,MiscEntity,diablo2-io
,,ko-t1320.html,,ko-t1320.html,aa980ee5-6005-53e7-aa00-fb3054e66142,MiscEntity,diablo2-io
,,eld-t50.html,,eld-t50.html,766b178e-9717-5af7-a8b8-c6777198271e,MiscEntity,diablo2-io
,,ritual-t1673938.html,,ritual-t1673938.html,e8e7966c-ce62-5d6f-9035-a95305c27b0d,Runeword,diablo2-io
,,amn-t23.html,,amn-t23.html,10afc63b-7605-522f-bc30-7084082a5d91,MiscEntity,diablo2-io
,,ohm-t1327.html,,ohm-t1327.html,29c22491-f47b-5be0-8fb2-6e44c89e20f7,MiscEntity,diablo2-io
,,rift-t1244.html,,rift-t1244.html,045140d7-60fa-534d-8f9b-650804693d10,Runeword,diablo2-io
,,hel-t51.html,,hel-t51.html,f2de6133-e8f7-5385-b830-2d26cc52dd07,MiscEntity,diablo2-io
,,lem-t1322.html,,lem-t1322.html,08b41076-30a4-5bca-8399-9ed015c9f4d9,MiscEntity,diablo2-io
,,gul-t1326.html,,gul-t1326.html,15ca4f5b-e9a3-5dd5-99d4-d33748162763,MiscEntity,diablo2-io
,,harmony-t1234.html,,harmony-t1234.html,ffdc3618-36d4-5465-977a-f89280ad7f65,Runeword,diablo2-io
structured_db,,sets,structured_db,"All Diablo 2 Resurrected Set Items
        
                                  
        
         • diablo2.io",33a0d5ca-f9e5-5ad6-85e3-ab51d47730bf,SourceDocument,diablo2-io
,,sets,,sets,5c38d109-8a28-54d7-bb12-a3b628c0c07e,WebPage,diablo2-io
,,horazon-s-splendor-t1673911.html,,horazon-s-splendor-t1673911.html,b3cdc5ea-b0c9-5d4b-98a3-1384b5c9bcd1,SetItem,diablo2-io
,,horazon-s-countenance-t1673917.html,,horazon-s-countenance-t1673917.html,7eb8396d-9ee5-5c59-9a8d-6bb0d2cf10ca,SetItem,diablo2-io
,,horazon-s-dominion-t1673918.html,,horazon-s-dominion-t1673918.html,2dce9e61-d871-574e-b5d2-baf852cd1b91,SetItem,diablo2-io
,,horazon-s-hold-t1673919.html,,horazon-s-hold-t1673919.html,1d95a323-4a7c-5dcf-9db4-d8548b6c6239,SetItem,diablo2-io
,,horazon-s-legacy-t1673920.html,,horazon-s-legacy-t1673920.html,9c91a8a5-5dee-5110-ac1a-d79642f1572b,SetItem,diablo2-io
,,horazon-s-secrets-t1673921.html,,horazon-s-secrets-t1673921.html,dcce649f-d66f-5381-b1ff-d89903bab0c9,SetItem,diablo2-io
,,guillaume-s-face-t1135.html,,guillaume-s-face-t1135.html,d75cccbf-3bf4-5699-a584-bad30dc6a467,SetItem,diablo2-io
,,winged-helm-t1505.html,,winged-helm-t1505.html,31498949-a5b7-5243-ad71-4dcbb8ede14f,BaseItem,diablo2-io
,,orphan-s-call-t1133.html,,orphan-s-call-t1133.html,88463e65-7e24-5a0f-b152-d6420ea18cd9,SetItem,diablo2-io
,,bane-s-garments-t1673910.html,,bane-s-garments-t1673910.html,41072d18-8ddc-5fb5-b4d9-fae32f194cf8,SetItem,diablo2-io
,,bane-s-wraithskin-t1673915.html,,bane-s-wraithskin-t1673915.html,1c51abdd-8053-5858-b8e9-55d833945969,SetItem,diablo2-io
,,bane-s-authority-t1673916.html,,bane-s-authority-t1673916.html,4bdca866-9d03-56e1-89a8-45adfe181460,SetItem,diablo2-io
structured_db,,base,structured_db,"All Diablo 2 Resurrected Base Items
        
                                  
        
         • diablo2.io",acb977a3-0e03-518a-92c0-c04c55da8dab,SourceDocument,diablo2-io
,,base,,base,298addff-05cf-5b5e-9cda-f5c5860559e9,WebPage,diablo2-io
,,jared-s-stone-t1775.html,,jared-s-stone-t1775.html,6e2ef9ac-5b45-579e-a045-4338b5661cf7,BaseItem,diablo2-io
,,dimensional-shard-t1785.html,,dimensional-shard-t1785.html,3bda6563-225d-5312-bb79-30aff9a03191,BaseItem,diablo2-io
,,swirling-crystal-t1780.html,,swirling-crystal-t1780.html,c1512182-4d31-50ae-9f6d-05b2d697b15e,BaseItem,diablo2-io
,,demonhead-t1497.html,,demonhead-t1497.html,1117bc68-daca-5a32-893b-2f246702f0a4,BaseItem,diablo2-io
,,mask-t256.html,,mask-t256.html,c94a1f92-1d1a-5502-be2e-0f4b578d5958,BaseItem,diablo2-io
,,thresher-t1799.html,,thresher-t1799.html,45d1fef9-aa23-57e0-9305-e203f48b98cc,BaseItem,diablo2-io
,,battle-scythe-t1793.html,,battle-scythe-t1793.html,35ee5ee9-a45d-5f39-b612-5a8a6790aa80,BaseItem,diablo2-io
,,scythe-t61.html,,scythe-t61.html,d1727c6e-2ccf-56fa-9bae-673cf59157a3,BaseItem,diablo2-io
,,full-plate-mail-t1427.html,,full-plate-mail-t1427.html,d291bffa-63a0-5b97-9b8e-1ed08eeb58f1,BaseItem,diablo2-io
,,chaos-armor-t1428.html,,chaos-armor-t1428.html,a579dad1-766e-5dcd-9fb6-dc28a0c41557,BaseItem,diablo2-io
,,shadow-plate-t1429.html,,shadow-plate-t1429.html,ff6df691-9617-59c9-968e-0aea2dd37709,BaseItem,diablo2-io
structured_db,,recipes,structured_db,"All Diablo 2 Resurrected Cube Recipes
        
                                  
        
         • diablo2.io",f8ba2b6e-c9c5-5a8b-af64-8d6b9d56ff87,SourceDocument,diablo2-io
,,recipes,,recipes,e26d4eb0-9523-5f1b-afff-780df4c65b29,WebPage,diablo2-io
,,recipe-fully-repaired-armor-t3303.html,,recipe-fully-repaired-armor-t3303.html,aa2561fb-4e32-5eee-99a0-b69bc57a2678,Recipe,diablo2-io
,,ral-t48.html,,ral-t48.html,10d98329-e450-5510-a3c9-3ebc7d413c42,MiscEntity,diablo2-io
,,recipe-add-sockets-to-normal-weapon-t3314.html,,recipe-add-sockets-to-normal-weapon-t3314.html,f77730b1-4cf4-526a-8896-7a54f29014e0,Recipe,diablo2-io
,,perfect-amethyst-t1358.html,,perfect-amethyst-t1358.html,f47c4834-c88d-5fb3-9ebd-cc79ee7b08d4,MiscEntity,diablo2-io
,,recipe-portal-to-the-secret-cow-level-t6.html,,recipe-portal-to-the-secret-cow-level-t6.html,eb03eb7f-099e-5130-ae71-91bd118695b3,Recipe,diablo2-io
,,tome-of-town-portal-t12.html,,tome-of-town-portal-t12.html,c56cc244-98b7-5fb6-894f-65545467629c,MiscEntity,diablo2-io
,,wirt-s-leg-t67.html,,wirt-s-leg-t67.html,c81f2c15-d76d-5347-bc20-90ce98e7471c,MiscEntity,diablo2-io
,,portal-to-the-secret-cow-level-t68.html,,portal-to-the-secret-cow-level-t68.html,8e363041-f0e4-5f60-a393-68e3f0fa396a,MiscEntity,diablo2-io
,,recipe-portal-to-colossal-summit-t1674861.html,,recipe-portal-to-colossal-summit-t1674861.html,b61a49ff-acab-5683-9ffd-b9eefd264dbe,Recipe,diablo2-io
,,talic-s-anguish-t1674833.html,,talic-s-anguish-t1674833.html,0911543d-3463-58e2-80ca-928811ae0087,MiscEntity,diablo2-io
structured_db,,monsters,structured_db,"All Diablo 2 Resurrected Monsters
        
                                  
        
         • diablo2.io",facd31cf-535a-5747-9590-cf8347416a95,SourceDocument,diablo2-io
,,monsters,,monsters,21ab9c69-0d6f-54d5-9b8b-13c209bb0e51,WebPage,diablo2-io
,,uber-madawc-t1674869.html,,uber-madawc-t1674869.html,4d5b09b3-45f9-59e7-946c-885e3ff9abf7,Monster,diablo2-io
,,colossal-summit-t1674854.html,,colossal-summit-t1674854.html,17612f18-ebb7-5884-ba09-f4851a075bfa,Area,diablo2-io
,,uber-korlic-t1674867.html,,uber-korlic-t1674867.html,a9fc400a-d479-5259-bf30-495d225995bd,Monster,diablo2-io
,,uber-talic-t1674866.html,,uber-talic-t1674866.html,47d13501-dffc-544a-bd8c-524dd62ebc50,Monster,diablo2-io
,,herald-t1674889.html,,herald-t1674889.html,bd028c9b-c5c2-503b-b7bc-21d29a942d2f,Monster,diablo2-io
,,achmel-the-cursed-t4328.html,,achmel-the-cursed-t4328.html,634ea781-c764-58d6-8c69-dad33b4fc680,Monster,diablo2-io
,,greater-mummy-t4230.html,,greater-mummy-t4230.html,ce02de99-c734-54ad-b480-04e7ac47967b,Monster,diablo2-io
,,throne-of-destruction-t3818.html,,throne-of-destruction-t3818.html,593e40e1-ff27-538c-951f-c42896cf4d17,Area,diablo2-io
,,the-smith-t4281.html,,the-smith-t4281.html,8c135fa3-d9d5-53fc-80de-5b3b2a1ed922,Monster,diablo2-io
,,barracks-t3723.html,,barracks-t3723.html,74f319dd-4e46-5267-884f-a494310e67f7,Area,diablo2-io
,,shenk-the-overseer-t4314.html,,shenk-the-overseer-t4314.html,56fd5a9b-494b-5068-ac17-729855f03d0b,Monster,diablo2-io
,,overseer-t4259.html,,overseer-t4259.html,8267003a-0b71-575d-8093-c5ed73cf89f0,Monster,diablo2-io
structured_db,,npcs,structured_db,"All Diablo 2 Resurrected NPCs
        
                                  
        
         • diablo2.io",a2564477-7e19-54db-9028-56d67ab37cd8,SourceDocument,diablo2-io
,,npcs,,npcs,780881ec-9ff7-5c63-a28b-d3cdcbd6d34b,WebPage,diablo2-io
,,hratli-t3946.html,,hratli-t3946.html,09bacfc0-c91b-5e5b-8fcc-ff48209c6062,NPC,diablo2-io
,,kurast-docks-t3762.html,,kurast-docks-t3762.html,e46f29aa-2ca7-5229-938a-2cc196b764e5,Area,diablo2-io
,,malah-t3955.html,,malah-t3955.html,1f41ff3a-94a9-5566-b815-b0da98c9bdf0,NPC,diablo2-io
,,harrogath-t3796.html,,harrogath-t3796.html,846c3260-f0b2-5c48-b960-a9e7db54869c,Area,diablo2-io
,,izual-spirit-t3954.html,,izual-spirit-t3954.html,fc907e86-b31b-54c2-98ba-387643644d97,NPC,diablo2-io
,,plains-of-despair-t3792.html,,plains-of-despair-t3792.html,22fe1585-3e9a-5ef0-9860-52bf99a5bf3b,Area,diablo2-io
,,ormus-t3948.html,,ormus-t3948.html,906ede50-6197-5698-8ce8-aacefc3eb0bb,NPC,diablo2-io
,,flavie-t3932.html,,flavie-t3932.html,7dad8b32-3b2b-5702-a8f7-a93506aa06ca,NPC,diablo2-io
,,blood-moor-t3711.html,,blood-moor-t3711.html,5b78eaad-8593-5702-b7c6-12072e5c1fec,Area,diablo2-io
,,geglash-t3940.html,,geglash-t3940.html,2d3a04ea-24f9-5467-9b4c-131b8a32e8b2,NPC,diablo2-io
,,lut-gholein-t3733.html,,lut-gholein-t3733.html,28d62221-034a-5906-87a0-6b1f64fdc88a,Area,diablo2-io
,,tal-rasha-t3962.html,,tal-rasha-t3962.html,1c05ba16-aa1d-5931-af18-f29780692b5a,NPC,diablo2-io
structured_db,,skills,structured_db,"All Diablo 2 Resurrected Skills
        
                                  
        
         • diablo2.io",7fce8d96-aff7-589d-9f89-d23ff3fd06d5,SourceDocument,diablo2-io
,,skills,,skills,56d36595-9cf1-5704-b986-721258a669f9,WebPage,diablo2-io
,,enhanced-entropy-t1676856.html,,enhanced-entropy-t1676856.html,90461832-3d5a-5aa6-a10e-e022eb5a8dcd,Skill,diablo2-io
,,miasma-chain-t1676851.html,,miasma-chain-t1676851.html,e77020ab-7d66-58ac-8126-363c37866a61,Skill,diablo2-io
,,summon-tainted-t1674066.html,,summon-tainted-t1674066.html,bf5476f9-f49d-591f-8885-1ea73ab0f9e2,Skill,diablo2-io
,,summon-goatman-t1674063.html,,summon-goatman-t1674063.html,c844a8dd-7e57-5cba-991d-3207a9c2c3bc,Skill,diablo2-io
,,blood-oath-t1674064.html,,blood-oath-t1674064.html,b16b43e9-eb39-508a-b0d9-881d9b39d128,Skill,diablo2-io
,,eldritch-blast-t1676824.html,,eldritch-blast-t1676824.html,fb3c4e1f-4632-542b-bf1c-88d320b1454e,Skill,diablo2-io
,,psychic-ward-t1676823.html,,psychic-ward-t1676823.html,d70fdc6a-b3df-5dfd-b96d-39a7ddb7d08f,Skill,diablo2-io
,,hex-purge-t1676821.html,,hex-purge-t1676821.html,130975ca-de2a-59b9-b561-00ab45dd7f24,Skill,diablo2-io
,,blade-warp-t1676822.html,,blade-warp-t1676822.html,b5103b69-d69e-5315-a718-86a339c1cc98,Skill,diablo2-io
,,echoing-strike-t1676820.html,,echoing-strike-t1676820.html,cdc1c984-b512-56ff-888e-fc7b944dadeb,Skill,diablo2-io
,,levitation-mastery-t1676818.html,,levitation-mastery-t1676818.html,a0596a2f-9b68-5ecc-b4f5-8bfe2a879fdd,Skill,diablo2-io
,,mirrored-blades-t1676826.html,,mirrored-blades-t1676826.html,8eac9292-4004-5f92-a315-8a6e53bbbdb2,Skill,diablo2-io
structured_db,,areas,structured_db,"All Diablo 2 Resurrected Areas
        
                                  
        
         • diablo2.io",fc04c06d-a9d3-5f77-8bf3-d5c2ebfd46f9,SourceDocument,diablo2-io
,,areas,,areas,9eceb76d-59b8-5c24-b71e-13d6654d7464,WebPage,diablo2-io
,,rogue-encampment-t3710.html,,rogue-encampment-t3710.html,abc34785-5925-508e-96d6-0fffb222f8d3,Area,diablo2-io
,,cold-plains-t3712.html,,cold-plains-t3712.html,5e35d282-c0fc-5442-9cad-6f90a9e57f0a,Area,diablo2-io
,,den-of-evil-t3696.html,,den-of-evil-t3696.html,b33d080d-2a08-5f11-8cbd-6c9ed6b45089,Area,diablo2-io
,,worldstone-keep-level-3-t3817.html,,worldstone-keep-level-3-t3817.html,5b60c3dc-c361-505f-aabf-68cc09573a6b,Area,diablo2-io
,,worldstone-chamber-t3819.html,,worldstone-chamber-t3819.html,ab2f861f-7d8d-5e74-8d63-b8fa4900764f,Area,diablo2-io
,,glacial-trail-t3808.html,,glacial-trail-t3808.html,ba0c078a-3da7-535a-aadf-6a84a2c5aad0,Area,diablo2-io
,,crystalline-passage-t3802.html,,crystalline-passage-t3802.html,b14f52b8-5102-58b2-87ef-287a37ac7082,Area,diablo2-io
,,drifter-cavern-t3809.html,,drifter-cavern-t3809.html,b6ddd948-55f3-51cf-a6d5-17a7d5930d70,Area,diablo2-io
,,frozen-tundra-t3810.html,,frozen-tundra-t3810.html,d30712d5-cb64-5aed-9427-0d49c1cef7e4,Area,diablo2-io
structured_db,,quests,structured_db,"All Diablo 2 Resurrected Quests
        
                                  
        
         • diablo2.io",198e9dec-6e32-504d-93bb-a0901078e8e4,SourceDocument,diablo2-io
,,quests,,quests,68b74867-f46d-5989-84c3-8c12674dd36e,WebPage,diablo2-io
,,eve-of-destruction-t3988.html,,eve-of-destruction-t3988.html,92233c1e-0515-5cd3-b99e-909310ab783f,Quest,diablo2-io
,,the-search-for-cain-t11.html,,the-search-for-cain-t11.html,95cf92f4-bffc-5632-a39b-98a0c664aec0,Quest,diablo2-io
,,akara-t3931.html,,akara-t3931.html,5be9c2e6-e33d-5354-8013-9e961c37b02c,NPC,diablo2-io
,,the-hellforge-t3981.html,,the-hellforge-t3981.html,f0a20ec3-33f1-558a-bd81-fd1bba23c2e3,Quest,diablo2-io
,,deckard-cain-t8.html,,deckard-cain-t8.html,48465709-56e0-5f48-93a2-bf795a28b6e5,NPC,diablo2-io
,,rescue-on-mount-arreat-t3984.html,,rescue-on-mount-arreat-t3984.html,c7356a10-e5a5-5548-9745-8c2033313e52,Quest,diablo2-io
,,qual-kehk-t3959.html,,qual-kehk-t3959.html,dd7520c4-b2c8-549b-8bbd-64e900cc4b6f,NPC,diablo2-io
,,blade-of-the-old-religion-t3975.html,,blade-of-the-old-religion-t3975.html,92c81ef2-c0d3-5719-a2fd-078fd90b8df1,Quest,diablo2-io
,,radament-s-lair-t3968.html,,radament-s-lair-t3968.html,aabd8a44-a3b8-58e1-b83c-b7e3bd5b9831,Quest,diablo2-io
,,atma-t3935.html,,atma-t3935.html,e1cd372e-691f-5d68-adeb-f3152b9981f0,NPC,diablo2-io
,,lam-esen-s-tome-quest-t3977.html,,lam-esen-s-tome-quest-t3977.html,b39cfb44-102a-5f99-8e83-3231d1761c62,Quest,diablo2-io
structured_db,,blizzhackers-d2data,open_data,blizzhackers/d2data,0cfb6e6a-992a-58ca-94c4-7fb667a12988,Source,
structured_db,,readme,open_data,README,c575bca6-afac-54f0-be9b-26940f8a968f,SourceDocument,blizzhackers-d2data
,,README.md,,README,19d24304-b055-5bf8-a081-84290a25b27b,OpenDataResource,blizzhackers-d2data
structured_db,,root-contents,open_data,root-contents,75b222a7-1326-51d8-bc27-5eb6b934df3a,SourceDocument,blizzhackers-d2data
,,contents,,root-contents,628d09b8-dd86-5ff9-91bf-d58b0b6891e8,OpenDataResource,blizzhackers-d2data
,,.eslintrc.js,,.eslintrc.js,0d82a132-6aca-5a77-bf6a-b4dbd5552631,OpenDataResource,blizzhackers-d2data
,,.eslintrc.js,,.eslintrc.js,dcf7c5e7-23ea-5a18-8252-81159da76558,OpenDataResource,blizzhackers-d2data
,,.eslintrc.js,,.eslintrc.js,7de5670a-4397-5c06-b652-fe522e56f3b1,OpenDataResource,blizzhackers-d2data
,,.gitignore,,.gitignore,3985e425-c9a4-546f-a138-cfc54823c17c,OpenDataResource,blizzhackers-d2data
,,.gitignore,,.gitignore,8c8d151a-061b-55e8-a816-ccdd818da033,OpenDataResource,blizzhackers-d2data
,,.gitignore,,.gitignore,bbb981bc-942c-5b88-ad1e-f90d22fbdd1c,OpenDataResource,blizzhackers-d2data
,,LICENSE,,LICENSE,8168fef3-2655-5533-ad6a-ef5f257b3a3c,OpenDataResource,blizzhackers-d2data
,,LICENSE,,LICENSE,e9cdb7db-5ec4-5594-8910-ac0aed55cf9f,OpenDataResource,blizzhackers-d2data
,,LICENSE,,LICENSE,5ae24f81-7bf6-5baf-9dea-84a43a3cf494,OpenDataResource,blizzhackers-d2data
,,README.md,,README.md,1f1499dc-db6f-55b4-a0b8-6f33ceb990df,OpenDataResource,blizzhackers-d2data
,,README.md,,README.md,6f1746af-e5b8-526f-980f-8de419849192,OpenDataResource,blizzhackers-d2data
,,README.md,,README.md,74614258-0ae8-5e79-9b5c-4026ad37d6fd,OpenDataResource,blizzhackers-d2data
,,_config.yml,,_config.yml,b10abbbb-943d-5ce3-9084-53ea45f00591,OpenDataResource,blizzhackers-d2data
,,_config.yml,,_config.yml,d5687989-81a2-5bec-bde9-42d19e386ec9,OpenDataResource,blizzhackers-d2data
,,_config.yml,,_config.yml,d665a962-bf14-5f30-97ba-92d6c5393795,OpenDataResource,blizzhackers-d2data
structured_db,,json-contents,open_data,json-contents,623d1515-5325-5eea-835a-bc812557d6e3,SourceDocument,blizzhackers-d2data
